_record_id,name_history,name,ico,address,legal_form,region,date_start,date_end,activity1,activity2,account_sector,ownership,size,source_url
21,"",Centrum vedecko-technických informácií Slovenskej republiky,00151882,"Lamačská cesta 8/A,  811 04 Bratislava - Staré Mesto",Príspevková organizácia,Bratislava I,1988-05-01,"",Činnosti knižníc a archívov,Činnosti knižníc a archívov,Ústredná štátna správa,Štátne,100-149 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=423
22,"","Hornonitrianske bane Prievidza, a.s. Baňa Handlová, odštepný závod",00152030,"Štrajková 1,  972 51 Handlová",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Prievidza,1996-07-01,"",Ťažba lignitu,Ťažba hnedého uhlia a lignitu a výroba brikiet z hnedého uhlia,Verejné nefinančné korporácie,Štátne,2000-2999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=424
23,"","Hornonitrianske bane Prievidza, a.s. Baňa Cígeľ, odštepný závod",00152048,",  971 01 Prievidza",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Prievidza,1996-07-01,2003-01-01,"",Ťažba hnedého uhlia a lignitu a výroba brikiet z hnedého uhlia,Verejné nefinančné korporácie,Štátne,2000-2999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=425
24,"","Hornonitrianske bane Prievidza a.s. Baňa Nováky, odštepný závod",00152064,",  972 71 Nováky",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Prievidza,1996-07-01,"",Ťažba lignitu,Ťažba hnedého uhlia a lignitu a výroba brikiet z hnedého uhlia,Verejné nefinančné korporácie,Štátne,1000-1999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=426
25,"","SEP - Elektrárne Nováky, koncernový podnik",00152129,"Zemianske  Kostoľany 7,  972 43 Zemianske Kostoľany",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Prievidza,1977-01-01,1994-11-01,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=427
26,"","SEP - Vodné elektrárne, koncernový podnik",00152137,"Hurbanova 1598/58,  911 69 Trenčín",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Trenčín,1977-01-01,1994-11-01,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,1000-1999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=428
27,"","SEP - Elektrárne Vojany, koncernový podnik",00152145,"Vojany ,  076 73 Vojany",Odštepný závod alebo iná organizačná zložka podniku zapisujúca sa do obchodného registra,Michalovce,1977-01-01,1994-11-01,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,1000-1999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=429
28,"","Západoslovenské energetické závody, š.p.",00152153,"Čulenova 6,  816 47 Bratislava - Staré Mesto",Štátny podnik,Bratislava I,1977-01-01,2001-10-30,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,3000-3999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=430
29,"","Stredoslovenské  energetické  závody,  š.p. /SSE š.p. Žilina/",00152161,"Republiky 5,  010 47 Žilina",Štátny podnik,Žilina,1977-01-01,2001-12-31,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,3000-3999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=431
30,"","Východoslovenské energetické závody, štátny podnik, Košice",00152170,"Mlynská 31,  042 91 Košice - Staré Mesto",Štátny podnik,Košice I,1977-01-01,2001-12-31,"",Výroba a rozvod elektriny,Verejné nefinančné korporácie,Štátne,2000-2999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=432
31,"","Ústav technológie a racionalizácie, štátny podnik v likvidácii",00152285,"Nevädzová 5,  826 13 Bratislava - Ružinov",Štátny podnik,Bratislava II,1988-05-01,"",Ostatný výskum a experimentálny vývoj v oblasti prírodných a technických vied,Výskum a experimentálny vývoj v oblasti prírodných a technických vied,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=433
32,"","CALEX Zlaté Moravce, a.s. /konkurz/",00152331,"Továrenská 49,  953 36 Zlaté Moravce",Akciová spoločnosť,Zlaté Moravce,1991-01-01,"","Výroba rúr, pecí a horákov k peciam",Výroba elektrických zariadení pre domácnosť,Verejné nefinančné korporácie,Štátne,250-499 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=434
33,"","Elektrosvit Nové Zámky, a.s.",00152340,"Komárňanská cesta 3,  940 37 Nové Zámky",Akciová spoločnosť,Nové Zámky,1988-05-01,"",Výroba elektrických svietidiel,Výroba svietidiel a elektrických lámp,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=435
34,"","Kovosmalt, š.p. v likvidácii",00152358,"Šávolská 1/323,  986 11 Fiľakovo",Štátny podnik,Lučenec,1988-05-01,1998-08-10,"",Výroba ostatných účelových strojov a zariadení,Verejné nefinančné korporácie,Štátne,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=436
35,"","TATRAMAT, akciová spoločnosť",00152421,"Hlavná 1416/28,  058 92 Poprad",Akciová spoločnosť,Poprad,1988-05-01,"",Predaj plynu prepravovaného potrubím,Rozvod a predaj plynných palív potrubím,Súkromné nefinančné korporácie,Súkromné tuzemské,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=437
36,"","Vývojový ústav strojov a strojárenských technológií, š.p. v likvidácii",00152510,"Železničná 591,  049 01 Plešivec",Štátny podnik,Rožňava,1986-04-01,2006-08-04,"",Výskum a experimentálny vývoj v oblasti prírodných a technických vied,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=438
37,"","ZVL Skalica, a.s. - v konkurze",00152579,"Nádražná 9,  909 81 Skalica",0,Skalica,1991-01-01,2010-11-30,0,0,0,0,3,http://www.statistics.sk/pls/wregis/detail?wxidorg=439
38,"","ZVL BEARINGS Prešov a.s., v konkurze",00152587,"Košická 1,  080 01 Prešov",Akciová spoločnosť,Prešov,1988-05-01,"",Výroba náradia,Výroba nástrojov,Súkromné nefinančné korporácie,Súkromné tuzemské,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=440
39,"","ZVL ODBYT ŽILINA, Š. P. v likvidácii",00152617,"Vysokoškolákov 15,  010 36 Žilina",Štátny podnik,Žilina,1988-05-01,2008-07-31,"Veľkoobchod s poľnohospodárskymi strojmi, zariadeniami a príslušenstvom","Veľkoobchod s poľnohospodárskym strojovým zariadením, náradím a príslušenstvom vrátane traktorov",Verejné nefinančné korporácie,Štátne,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=441
40,"",CHIRANA-PREMA a.s. v konkurze,00152650,"Nám. Dr. Alberta Schweitzera 194,  916 01 Stará Turá",Akciová spoločnosť,Nové Mesto nad Váhom,1991-05-17,"",Výroba lekárskych a dentálnych nástrojov a potrieb,Výroba zdravotníckych a chirurgických prístrojov a zariadení a prístrojov na ortopedické účely,Súkromné nefinančné korporácie,Súkromné tuzemské,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=442
41,"","Chirana Piešťany, a.s. - v konkurze",00152668,"Vrbovská cesta 17,  921 19 Piešťany",Akciová spoločnosť,Piešťany,1991-01-01,2005-04-16,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Súkromné nefinančné korporácie,Súkromné tuzemské,200-249 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=443
42,"","Plastika, a.s.",00152781,"Novozámocká cesta 222,  949 05 Nitra",Akciová spoločnosť,Nitra,1991-01-01,"","Výroba plastových dosiek, fólií, hadíc a profilov","Výroba dosiek, fólií, hadíc a profilov z plastov",Súkromné nefinančné korporácie,Súkromné tuzemské,250-499 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=444
43,"",M - GUM a.s. -v likvidácii,00152820,"Streženická cesta 45,  020 01 Púchov",Akciová spoločnosť,Púchov,1972-01-01,2010-04-01,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Súkromné nefinančné korporácie,Súkromné tuzemské,1000-1999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=445
44,"","Vegum, a.s.",00152854,"Gumárenská 337,  972 23 Dolné Vestenice",Akciová spoločnosť,Prievidza,1991-01-01,2009-01-15,Výroba ostatných výrobkov z gumy,Výroba iných gumových výrobkov,Súkromné nefinančné korporácie,Súkromné tuzemské,500-999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=446
45,"",Chemes štátny podnik Humenné v likvidácii,00152871,"Humenné ,  066 33 Humenné",Štátny podnik,Humenné,1990-11-01,"",Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Verejné nefinančné korporácie,Štátne,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=447
46,"",BUKÓZA a.s. v konkurze,00153036,"Hencovská ,  093 02 Hencovce",Akciová spoločnosť,Vranov nad Topľou,1988-05-01,2006-11-15,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Súkromné nefinančné korporácie,Súkromné tuzemské,50-99 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=448
47,"","SHP Harmanec, a.s.",00153052,"Harmanec 1,  976 03 Harmanec",Akciová spoločnosť,Banská Bystrica,1988-05-01,"","Výroba výrobkov pre domácnosť, hygienické a toaletné výrobky","Výroba domácich potrieb, hygienických a toaletných výrobkov z papiera",Súkromné nefinančné korporácie,Súkromné tuzemské,250-499 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=449
48,"","Texicom, bavlnárske závody  š.p. v likvidácii",00153141,"Bratislavská 125,  911 05 Trenčín",Štátny podnik,Trenčín,1989-07-01,"",Príprava a spriadanie textilných vlákien,Príprava a spriadanie bavlnených vlákien,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=450
49,"","BCT - Bratislavská cvernová továreň, akciová spoločnosť",00153150,"Páričkova 18,  815 46 Bratislava - Ružinov",Akciová spoločnosť,Bratislava II,1991-01-01,"",Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Nefinančné korporácie pod zahraničnou kontrolou,Medzinárodné s prevažujúcim súkromným sektorom,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=451
50,"","Poľana, š.p. v likvidácii",00153222,"Gemerská cesta 1,  984 01 Lučenec",Štátny podnik,Lučenec,1972-01-01,2007-01-06,Maloobchod s textilom v špecializovaných predajniach,Maloobchod s textilom,Verejné nefinančné korporácie,Štátne,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=452
51,"",TATRASVIT akciová spoločnosť Svit v konkurze,00153231,"Mierová 1,  059 21 Svit",Akciová spoločnosť,Poprad,1972-01-01,"",Výroba pletených a háčkovaných pančúch,Výroba pančuchového tovaru,Súkromné nefinančné korporácie,Súkromné tuzemské,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=453
52,"",OZETA odevné závody a.s. Trenčín  v konkurze,00153273,"Veľkomoravská 9,  911 05 Trenčín",Akciová spoločnosť,Trenčín,1990-07-30,"",Výroba ostatného vrchného ošatenia,Výroba ostatného vrchného ošatenia,Súkromné nefinančné korporácie,Súkromné tuzemské,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=454
53,"","Nákupná a predajná organizácia, štátny podnik v likvidácii",00153397,"Nitrianska cesta 60,  958 17 Partizánske",Štátny podnik,Partizánske,1972-01-01,"","Sprostredkovanie obchodu s textilom, odevmi, kožušinami, obuvou a koženým tovarom","Sprostredkovanie obchodu s textilom, odevmi, obuvou a koženým tovarom",Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=455
54,"","Západoslovenské tlačiarne, š.p.",00153435,"Cintorínska 21,  812 62 Bratislava - Staré Mesto",Štátny podnik,Bratislava I,1972-01-01,2000-06-01,"",Tlač i. n.,Verejné nefinančné korporácie,Štátne,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=456
55,"","Duklianske tlačiarne Prešov, štátny podnik v likvidácii",00153478,"Partizánska 1,  080 01 Prešov",Štátny podnik,Prešov,1972-01-01,"",Iná tlač,Tlač i. n.,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=457
56,"","DREVINA, štátny podnik ""v likvidácii""",00153508,"Vrútocká 256/3,  038 52 Sučany",Štátny podnik,Martin,1988-05-01,"",Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Verejné nefinančné korporácie,Štátne,50-99 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=458
57,"","Piloimpregna, štátny podnik v likvidácii",00153541,"Letná 40,  040 01 Košice - Staré Mesto",Štátny podnik,Košice I,1988-05-01,2007-06-02,Výroba dosiek a drevených panelov,"Výroba dýhy; preglejky, latovky, drevotrieskovej dosky, drevovláknitej dosky a iných panelov a dosiek",Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=459
58,"","ZÁPADOSLOVENSKÉ NÁBYTKÁRSKE ZÁVODY, štátny podnik v likvidácii",00153567,"Šaľanská cesta 2,  924 01 Galanta",Štátny podnik,Galanta,1988-05-01,"",Výroba metiel a kief,Výroba metiel a kief,Verejné nefinančné korporácie,Štátne,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=460
59,"","DREVONA, š.p. v likvidácii",00153605,"Majerská cesta 98,  975 36 Banská Bystrica",Štátny podnik,Banská Bystrica,1988-05-01,"","Veľkoobchod s drevom, stavebným materiálom a sanitárnymi zariadeniami","Veľkoobchod s drevom, stavebnými materiálmi a sanitárnym zariadením",Verejné nefinančné korporácie,Štátne,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=461
60,"",Poľnohospodárske družstvo Šumiac,00153630,",  976 71 Šumiac",Družstvo,Brezno,1991-05-02,"",Chov dojníc,"Chov hovädzieho dobytka, produkcia mlieka",Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=462
61,"",Štátny drevársky výskumný ústav,00153729,"Dúbravská cesta 4,  833 30 Bratislava - Karlova Ves",Príspevková organizácia,Bratislava IV,1988-05-01,2003-05-01,"",Výskum a experimentálny vývoj v oblasti prírodných a technických vied,Verejné nefinančné korporácie,Štátne,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=463
62,"","Pozemné stavby Trnava, štátny podnik v likvidácii",00153788,"Sladovnícka 15,  917 56 Trnava",Štátny podnik,Trnava,1972-01-01,"",Výstavba ostatných inžinierskych stavieb i. n.,"Stavba budov, mostov a inžinierskych sietí",Verejné nefinančné korporácie,Štátne,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=464
63,"","Pozemné stavby Nitra, štátny podnik v likvidácii",00153796,"Štúrova 22,  949 22 Nitra",Štátny podnik,Nitra,1972-01-01,2003-03-24,"",Bytové budovy,Verejné nefinančné korporácie,Štátne,1000-1999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=465
64,"2013-11-18: Pozemné stavby, š.p. v likvidácii","Pozemné stavby Banská Bystrica, štátny podnik""v likvidácii""",00153818,"Skuteckého 30,  975 64 Banská Bystrica",0,Banská Bystrica,1972-01-01,2013-08-23,0,0,0,0,3,http://www.statistics.sk/pls/wregis/detail?wxidorg=466
65,"","Stredoslovenské stavby, štátny podnik v likvidácii",00153834,"Mariánske námestie 24,  010 01 Žilina",Štátny podnik,Žilina,1972-01-01,2009-10-29,Ostatné špecializované stavebné práce i. n.,Ostatné špecializované stavebné práce,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=467
66,"",Pozemné stavby š.p. v likvidácii,00153851,"Boženy Němcovej 32,  040 01 Košice - Sever",Štátny podnik,Košice I,1972-01-01,"",Výstavba obytných a neobytných budov i. n.,"Stavba budov, mostov a inžinierskych sietí",Verejné nefinančné korporácie,Štátne,50-99 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=468
67,"",Pozemné stavby š.p. v likvidácii,00153869,"Levočská 866,  058 80 Poprad",0,Poprad,1974-01-01,2012-06-26,0,0,0,0,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=469
68,"","CTY GROUP, a.s.",00154041,"Bellova 3,  040 01 Košice - Staré Mesto",Akciová spoločnosť,Košice I,1972-01-01,"",Realitné kancelárie,Realitné kancelárie,Súkromné nefinančné korporácie,Medzinárodné s prevažujúcim súkromným sektorom,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=470
69,"","Chemkostav, š.p. v likvidácii",00154059,"Štefánikova 18,  066 01 Humenné",Štátny podnik,Humenné,1972-01-01,2003-12-15,"",Dočasné ubytovanie i. n.,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=471
70,"",CEVA spol. s r.o.,00154113,"Brnianska 2,  911 57 Trenčín",Spoločnosť s ručením obmedzeným,Trenčín,1991-05-31,2003-07-16,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Súkromné nefinančné korporácie,Súkromné tuzemské,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=472
71,"","Závody inžinierskej a priemyslovej prefabrikácie, š.p. v likvidácii",00154326,"Stará Vajnorská cesta 16,  832 44 Bratislava - Nové Mesto",Štátny podnik,Bratislava III,1972-01-01,2006-04-01,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Verejné nefinančné korporácie,Štátne,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=473
72,"","Výskumný ústav inžinierskych stavieb, š.p.",00154377,"Lamačská 8,  817 14 Bratislava - Staré Mesto",Štátny podnik,Bratislava I,1972-01-01,2001-07-04,"",Výskum a experimentálny vývoj v oblasti prírodných a technických vied,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=474
73,"",Technický a skúšobný ústav stavebný,00154393,"Studená 3,  826 34 Bratislava - Ružinov",Príspevková organizácia,Bratislava II,1972-01-01,2002-11-04,Technické testovanie a analýzy,Technické testovanie a analýzy,Verejné nefinančné korporácie,Štátne,150-199 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=475
74,"","Československé automobilové opravovne,š.p.v likv.",00154491,"Partizánska 83,  984 45 Lučenec",Štátny podnik,Lučenec,1973-07-01,"",Výroba karosérií pre motorové vozidlá; výroba návesov a prívesov,Výroba karosérií pre motorové vozidlá; výroba prívesov a návesov,Verejné nefinančné korporácie,Štátne,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=476
75,"","Poľnohospodárske potreby, štátny podnik v konkurze",00154709,"Hviezdoslavovo nám. 5,  814 06 Bratislava - Staré Mesto",Štátny podnik,Bratislava I,1978-08-01,"",Veľkoobchod s chemickými výrobkami,Veľkoobchod s chemickými výrobkami,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=477
76,"","Poľnonákup SLOVPOľ, Š. P.",00154806,"Hlavná 1,  911 68 Trenčín",Štátny podnik,Trenčín,1972-01-01,2006-02-08,Výroba a príprava krmív pre hospodárske zvieratá,Výroba hotového krmiva pre hospodárske zvieratá,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=478
77,"","Poľnonákup HRON, š.p. v likvidácii",00154822,"Kuzmányho 5,  974 52 Banská Bystrica",Štátny podnik,Banská Bystrica,1991-05-01,2007-06-30,Výroba a príprava krmív pre hospodárske zvieratá,Výroba hotového krmiva pre hospodárske zvieratá,Verejné nefinančné korporácie,Štátne,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=479
78,"","Poľnonákup RIMAVAN, Š. P.",00154903,"Košická cesta ,  979 18 Rimavská Sobota",Štátny podnik,Rimavská Sobota,1974-01-01,"",Výroba a príprava krmív pre hospodárske zvieratá,Výroba hotového krmiva pre hospodárske zvieratá,Verejné nefinančné korporácie,Štátne,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=480
